Código	Empresa	Status	Editar	Excluir
389	Evolve Capital Gestao de Recursos Ltda	Ativa		
157	Extensão Auto Center, Marketing e Eventos Ltda	Ativa		
499	FAEC - Faculdade Atitude de Educação Continuada Ltda - Me	Ativa		
115	Febracis São Paulo - Treinamento em Desenv. Profissional e Gerencial	Ativa		
131	Frederico Ivo - Sociedade Individual de Advocacia	Ativa		
142	Garage 29 Auto Center	Ativa		
555	Garzon Pool - Lga Piscinas e Acessórios Ltda	Ativa		
101	Gasparini Solucoes em Filipe	Inativa		
122	Global Alpinismo - Global Resgate e Manutenção Industrial Eireli	Ativa		
574	Global Trade Technology Comercio Importação Ltda	Ativa		
139	Gr Parceria - Consultlog Servicos de Controle de Trafego Eireli	Ativa		
399	Gráfica Quatro Pontos	Ativa		
420	Gvn Corretores Encaminhamentos de propostas Eireli	Ativa		
519	Iceland - Confeitaria Iceland Ltda	Ativa		
387	Iguatemi Ribeirão Preto - Condomínio Complexo Iguatemi Ribeirão Preto	Ativa		
232	Imobiliária Trade Ltda	Ativa		
503	Infratelle - L F Machado Telecomunicações	Ativa		
137	Intherconnect - Cabos e Componentes Ltda	Ativa		
146	J Log Transportes Ltda	Ativa		
583	Jeytech Comercial e Tecnologia Ltda	Ativa		
393	JR Transportes - JL Marques Junior	Inativa		
490	Laguamarti Logistica e Transporte Ltda	Ativa		
575	Loja do Lubrificante - D. L Gomes Comercio de lubrificante	Ativa		
106	Lpf Distribuidora Eireli	Ativa		
154	M. D Industria Química Ltda	Ativa		
491	Mac Frio - Marcelo Alessandro da Costa Eletrodomésticos	Ativa		
588	Macpross - Comercio e Distribuição de Acos e Metais Eireli Me	Ativa		
518	Markanti - Acs Informatica Comercio e Manutenção Eireli	Ativa		
412	Master Perfurações e Desmontes Ltda	Ativa		
124	Maxclin Sociedade simples	Ativa		
394	MBM Global Trading Importação e Exportação Ltda	Ativa		
466	Mbo Assessoria Contabil e Empresarial Ltda	Ativa		
480	Medicamental Hospitalar - Medicamental Distribuidora Ltda	Ativa		
123	Montar Montagens e Locações - Marli e Generoso da Cruz Pissardo	Ativa		
158	Moranguinho Hortifrut Ltda	Ativa		
300	Mosaik Digital - Msk Digital Ltda Epp	Ativa		
447	Movimente Soluções em Transportes Ltda	Ativa		
584	Movplan - Mp&q Industria de Imobiliário e Tecnologia Educacional Eireli	Ativa		
479	Msk Fashion Eireli	Ativa		
376	Múltipla TI - Medeiros e Sales Advogados Associados	Ativa		
445	Mvt Campinas - Comercio Logistica e Soluções em Transportes	Ativa		
457	Nova Informe Soluções Contabeis Ltda	Ativa		
564	NW3 Propaganda e Marketing Ltda	Ativa		
109	Oakberry Açai Sensolo Ltda	Ativa		
386	Odonto Excellence - Centro Odontológico Eduardo Landi	Ativa		
561	Partmed-Clinica Medica Matos Saude -Eireli	Ativa		
140	Patrocar Francisco Junqueira - Florianópolis Auto Center Eireli Epp	Ativa		
102	Paulo Roberto Titoto	Ativa		
347	Piracred Serviços de Elaboração de Ficha Cadastrais Ltda	Ativa		
395	Planeart - N Gomide Moveis	Ativa		
353	Planpet Assistencia Medica para Animais Ltda	Ativa		
492	Play Technology T.I. Eireli	Ativa		
398	Portugal Química Ltda	Ativa		
153	Precision Comercial Distribuidora de Produtos Médicos Hospitalares Ltda	Ativa		
145	Prime Solucoes Empresariais - Prime Ribeirao Solucoes Empresariais Ltda Epp	Ativa		
591	Primeiro Assessoria - Primeiro Contabilidade Ltda	Ativa		
114	Printsys Comercial e Serviços Ltda	Ativa		
132	Pro - Log Solucoes Logistica Limitada	Ativa		
483	Prumos Invest Fomento Mercantil Ltda	Ativa		
366	R&O - Ragazzi & Oliveira Urbanismo	Ativa		
515	Rapidão Goiania Logistica e Transporte Ltda	Ativa		
208	Realiza TI - Web Software Ltda Me	Ativa		
500	Rebraziles Industria Integradora de Infraestrutura e Tec. Eireli	Ativa		
401	Ribercaixas - Industria e Comercio de Embalagens Ltda	Ativa		
493	Ribercred Serviços de Informações Cadastrais Ltda	Ativa		
435	Rodoviário Crismara Ltda	Ativa		
580	Rose Meire Napoleão da Silva	Ativa		
367	Rp Compras - Elétrica e Eletrônicos Rp Compras Ltda	Ativa		
467	Rp Sat Rastreamento Via Satelite Ltda	Ativa		
560	Rtl Consultoria Contabil e Empresarial Eireli	Ativa		
402	Safe TI - Info Tecnologia da Informação Ltda Me	Ativa		
456	SERVIDORES KROLIK	Ativa		
558	Sicoob Botucatu - Cooperativa de Credito	Ativa		
516	Sicoob Campos Gerais - Cooperativa de Credito	Ativa		
494	Sicoob Casa Branca - Cooperativa de Credito	Ativa		
506	Sicoob Cassia - Cooperativa de Credito	Ativa		
517	Sicoob Cristais Paulista - Cooperativa de Credito	Ativa		
529	Sicoob Franca - Cooperativa de Credito	Ativa		
579	Sicoob Guara - Cooperativa de Credito	Ativa		
572	Sicoob Patrocinio Paulista - Cooperativa de Credito	Ativa		
443	Sicoob RP - Cooperativa de Credito	Ativa		
509	Sicoob S.José da Bela Vista - Cooperativa de Credito	Ativa		
488	Sicoob Sales Oliveira - Cooperativa de Credito	Ativa		
384	Sitio Caju - Caju Projetos e Empreendimentos	Ativa		
562	Skip Group Servicos e Tecnologia da Informacao LTDA	Ativa		
403	Sol Millennium Brasil	Ativa		
243	Somativa Tecnologia ME	Ativa		
128	Sonoda Equipamentos Importação e Exportação Eireli Me	Ativa		
404	Spadoni e Carvalho Sociedade de Advogados	Ativa		
512	Spasse Telecon - Sp Telecon Intermediações e Negócios Ltda	Ativa		
144	Spazio Capelli Concetto - Studio da Vila Brooklin Ltda Me	Ativa		
405	Spel Engenharia LTDA	Ativa		
133	Start Silk Comercio de Confeccoes Ltda	Ativa		
180	TN Promotora de Negocios Ltda	Ativa		
434	Total cs Corretora de Seguros Ltda	Ativa		
129	Trevo Seg. Consultoria e Corretora de Seguros Ltda	Ativa		
481	Trinity Ti Soluções Tecnológicas de Inf. Ltda	Ativa		
156	Ultra Farma RP - Fast Farma Ribeirão Ltda Me	Ativa		
446	Ultramix Comercio de Alimentos e Bebidas Ltda	Ativa		
160	vago160	Inativa		
161	vago161	Inativa		
162	vago162	Inativa		
163	vago163	Inativa		
164	vago164	Inativa		
165	vago165	Inativa		
166	vago166	Inativa		
167	vago167	Inativa		
168	vago168	Inativa		
169	vago169	Inativa		
170	vago170	Inativa		
171	vago171	Inativa		
172	vago172	Inativa		
173	vago173	Inativa		
174	vago174	Inativa		
175	vago175	Inativa		
176	vago176	Inativa		
177	vago177	Inativa		
178	vago178	Inativa		
179	vago179	Inativa		
181	vago181	Inativa		
182	vago182	Inativa		
183	vago183	Inativa		
184	vago184	Inativa		
185	vago185	Inativa		
186	vago186	Inativa		
187	vago187	Inativa		
188	vago188	Inativa		
189	vago189	Inativa		
190	vago190	Inativa		
191	vago191	Inativa		
192	vago192	Inativa		
193	vago193	Inativa		
194	vago194	Inativa		
195	vago195	Inativa		
196	vago196	Inativa		
197	vago197	Inativa		
198	vago198	Inativa		
199	vago199	Inativa		
200	vago200	Inativa		
201	vago201	Inativa		
202	vago202	Inativa		
203	vago203	Inativa		
204	vago204	Inativa		
205	vago205	Inativa		
206	vago206	Inativa		
207	vago207	Inativa		
209	vago209	Inativa		
210	vago210	Inativa		
211	vago211	Inativa		
212	vago212	Inativa		
213	vago213	Inativa		
214	vago214	Inativa		
215	vago215	Inativa		
